msd_cattex_conv	TL	DMF
VER	justicier	justicier
APD	justifiable	justifiable
NOMcom	justificacïon	justification
NOMcom	justifïement	justifiement
VER	justifiier	justifier
NOMcom	keble	kebule
NOMcom	keste	keste
NOMcom	kestiere	kestière
NOMpro	Keu	Keu
NOMcom	keutel	keutel
NOMcom	kyrïele	kyrielle
NOMcom	kyrïelëyson	kyrie
NOMcom	la	la
ADV	là	là
APD	là	là
NOMcom	labefaccïon	labéfaction
NOMcom	label	lambeau
NOMcom	labit	labit
NOMcom	labite	labite
VER	labiter	labiter
NOMcom	labor	labour
APD	laborable	labourable
NOMcom	laboracïon	labouration
NOMcom	laborage	labourage
NOMcom	laborant	laborant
APD	laboratif	labouratif
NOMcom	laborement	labourement
NOMcom	laborëor	laboureur
VER	laborer	labourer
NOMcom	laborier	labourier
APD	laborïos	laborieux
APD	laboros	laboureux
NOMcom	laboros	laboureux
NOMcom	lac	lac
NOMcom	lace	lace
NOMcom	lacëiz	lacis
NOMcom	lacëor	laceur
NOMcom	laceron	lasseron
NOMcom	lacerte	lacerte
NOMcom	lacet	lacet
NOMcom	lachat	lachat
VER	lacier	lacer
NOMcom	laciere	lacière
NOMcom	laçon	laçon
APD	lacrimable	lacrimable
NOMcom	lacrime	lacrime
VER	lacrimer	lacrimer
APD	lacté	lacté
APD	ladre	ladre
NOMcom	ladre	ladre
NOMcom	ladrerie	ladrerie
NOMcom	läece	laise
NOMcom	lagan	lagan
APD	lai	lai
NOMcom	lai	legs
ADV	lai (laiement)	laiement
NOMcom	laicel	laicel
NOMcom	laicelet	laicelet
NOMcom	laidece	laidesse
ADV	laidement	laidement
APD	laidement	laidement
NOMcom	laidenge	laidenge
NOMcom	laidengëor	laidengeur
VER	laidengier	laidenger
VER	laidir	laidir
NOMcom	laidit	laidit
VER	laidoiier	laidoyer
NOMcom	laidure	laidure
NOMcom	laie	laie
NOMcom	laiee	layée
ADV	laienz	léans
NOMcom	laiete	layette
VER	laiier	layer
NOMcom	laine	laine
NOMcom	lais	lais
NOMcom	laisarde	lézarde
NOMcom	laisart	lézard
NOMcom	laise	laise
NOMcom	laissance	laissance
NOMcom	laisse	laisse
NOMcom	laissement	laissement
NOMcom	laissëor	laisseur
VER	laissier	laisser
APD	lait	laid
NOMcom	lait	lait
NOMcom	laitage	laitage
NOMcom	laitance	laitance
NOMcom	laitburre	lait-beurre
NOMcom	laite	laite
NOMcom	laiterie	laiterie
NOMcom	laitice	létice
APD	laiticié	leticé
NOMcom	laitie	laitie
APD	laitié	laité
NOMcom	laitier	laitier
VER	laitier	laitier
APD	laitiere	laitier
NOMcom	laitiere	laitière
NOMcom	laiton	laiton
NOMcom	laitue	laitue
NOMcom	lambrois	lambris
VER	lambruschier	lambrisser
NOMcom	lame	lame
NOMcom	lamentacïon	lamentation
NOMcom	lamentement	lamentement
VER	lamenter	lamenter
APD	lamentos	lamenteux
ADV	lamentos (lamentosement)	lamenteusement
NOMcom	lamniere	lamiere
NOMcom	lampas	lampas
NOMcom	lampe	lampe
NOMcom	lampier	lampier
NOMcom	lampote	lampote
NOMcom	lamprëon	lamproyon
NOMcom	lamproie	lamproie
NOMcom	lanage	lainage
NOMcom	lance	lance
NOMcom	lancëiz	lancis
NOMcom	lancele	lancelle
NOMcom	lancelee	lancelée
NOMpro	Lancelot	Lancelot
NOMcom	lancëor	lanceur
NOMcom	lancerel	lancerel
NOMcom	lancete	lancette
NOMcom	lancier	lancier
VER	lancier	lancer
NOMcom	lançot	lançot
NOMcom	lande	lande
NOMcom	landefride	landfride
NOMcom	landegrave	landgrave
NOMcom	landele	landelle
NOMcom	landete	landette
NOMcom	landie	landie
NOMcom	landon	landon
NOMcom	landwere	landwere
APD	lané	lainé
NOMcom	lanëor	laineur
VER	laner	lainer
NOMcom	laneret	laneret
NOMcom	laneton	laineton
NOMcom	lanëure	lainure
NOMcom	langage	langage
APD	langagëor	langageur
VER	langagier	langager
APD	langart	langard
NOMcom	langart	langard
APD	lange	lange
NOMcom	lange	lange
NOMcom	langel	langel
NOMcom	langoiement	langoiement
NOMcom	langoiëor	langoyeur
VER	langoiier	langoyer
NOMcom	langor	langueur
VER	langorer	langourer
VER	langorir	langourir
APD	langoros	langoureux
NOMcom	langoste	locuste
NOMcom	langue	langue
NOMcom	languee	languée
NOMcom	languete	languette
NOMcom	languetement	languettement
VER	langueter	langueter
VER	languir	languir
NOMcom	languis	languis
NOMcom	languison	languison
NOMcom	languissement	languissement
NOMcom	languissëor	languisseur
APD	lanier	lanier
NOMcom	lanier	lanier
VER	laniier	lanier
NOMcom	laniste	laniste
APD	laniz	lanice
NOMcom	lanjuel	langeul
NOMcom	lanon	lanon
NOMcom	lansage	lansage
NOMcom	lant	lant
NOMcom	lanterne	lanterne
NOMcom	lanternier	lanternier
APD	lanu	lainu
NOMcom	lanz	lanz
APD	läonisien	laonisien
NOMcom	läonisien	laonisien
NOMcom	läor	layeur
NOMcom	lape	lape
VER	laper	laper
NOMcom	laperel	lapereau
NOMcom	lapidacïon	lapidation
NOMcom	lapidaire	lapidaire
NOMcom	lapidee	lapidée
NOMcom	lapidement	lapidement
VER	lapider	lapider
APD	lapse	lapse
NOMcom	lardage	lardage
VER	lardé	larder
NOMcom	lardier	lardier
NOMcom	lardoire	lardoire
NOMcom	lardon	lardon
APD	lardos	lardeux
NOMcom	larece	laresse
APD	large	large
NOMcom	large	large
NOMcom	largece	largesse
ADV	largement	largement
APD	largement	largement
APD	larget	larget
NOMcom	largeté	largeté
NOMcom	largicïon	largition
VER	largir	largir
NOMcom	largitor	largiteur
NOMcom	largitude	largitude
NOMcom	larice	larice
NOMcom	laridel	laridel
INJ	larigot	larigot
NOMcom	larme	larme
VER	larmer	larmer
NOMcom	larmete	larmette
NOMcom	larmier	larmier
VER	larmoiier	larmoyer
APD	larmos	larmeux
NOMcom	larras	larras
NOMcom	larrecin	larcin
NOMcom	larrecine	larcine
APD	larrecinos	larcineux
ADV	larrecinos (larrecinosement)	larcineusement
NOMcom	larrier	larrier
NOMcom	larriz	larris
NOMcom	larron	larron
NOMcom	larronaille	larronnaille
NOMcom	larroncel	larroncel
NOMcom	larroncin	larroncin
VER	larroner	larronner
NOMcom	larronesse	larronnesse
NOMcom	larroniere	larronnière
APD	larronos	larronneux
NOMcom	lart	lard
APD	las	las
INJ	las	hélas
NOMcom	laschance	laschance
APD	lasche	lâche
NOMcom	lasche	lasche
ADV	lasche (laschement)	lâchement
NOMcom	laschece	lâchesse
NOMcom	laschement	lâchement
NOMcom	lascheté	lâcheté
VER	laschier	lâcher
APD	lassable	lassable
NOMcom	lasse	lasse
NOMcom	lassece	lassesse
APD	lassement	lassé
NOMcom	lassement	lassement
VER	lasser	lasser
APD	lasset	lasset
NOMcom	lasseté	lasté
NOMcom	lassëure	lassure
NOMcom	lasson	lasson
NOMcom	lassor	lasseur
NOMcom	lasté	lasté
NOMcom	late	latte
NOMcom	latebre	latèbre
APD	latent	latent
VER	later	latter
APD	lateral	latéral
NOMcom	latëure	latture
APD	latin	latin
NOMcom	latin	latin
VER	latiner	latiner
NOMcom	latinier	latinier
VER	latir	latir
VER	latiter	latiter
NOMcom	latitude	latitude
APD	latitudinel	latitudinel
NOMcom	laton	laton
VER	latrer	latrer
INJ	lau	lau
APD	laudable	laudable
NOMcom	laudacïon	laudation
NOMcom	laudanon	laudanum
APD	laurin	laurin
APD	lavable	lavable
NOMcom	lavacïon	lavation
NOMcom	lavance	lavance
NOMcom	lavanderie	lavanderie
NOMcom	lavandier	lavandier
NOMcom	lavandier (lavandiere)	lavandière
APD	lavatif	lavatif
NOMcom	lave	lave
NOMcom	lavement	lavement
NOMcom	lavendre	lavande
APD	lavëoir	lavoir
NOMcom	lavëoir	lavoir
APD	lavëor	laveur
NOMcom	lavëor	laveur
VER	laver	laver
NOMcom	laverresse	laveresse
NOMcom	lavëure	lavure
NOMcom	lavier	lavier
NOMcom	lavis	lavis
NOMcom	laxacïon	laxation
APD	laxatif	laxatif
NOMcom	laz	lacs
DET	le	le
PRO	le	le
APD	lé	lé
NOMcom	lé	lé
APD	lëal	loyal
ADV	lëaument	loyalement
NOMcom	lëauté	loyauté
NOMcom	leche	lèche
NOMcom	lechefroie (lechefrite)	lèchefrite
NOMcom	lechement	lèchement
APD	lechëor	lécheur
NOMcom	lecherie	lécherie
APD	lecheros	lèchereux
ADV	lecheros (lecherosement)	léchereusement
APD	lecherresse	lècheresse
NOMcom	lecherresse	lècheresse
NOMcom	lechëure	lèchure
VER	lechier	lécher
NOMcom	lechois	léchois
NOMcom	leçon	leçon
NOMcom	leçonier	leçonnier
NOMcom	lector	lecteur
NOMcom	lecture	lecture
NOMcom	lëece	liesse
VER	lëecier	leecier
NOMcom	lefre	lefre
NOMcom	legacïon	légation
NOMcom	legat	légat
APD	legataire	légataire
NOMcom	legataire	légataire
NOMcom	legende	légende
NOMcom	legendier	légendier
NOMcom	legerece	légeresse
APD	legeret	légeret
NOMcom	legerie	légerie
NOMcom	legerté	légèreté
APD	legier	léger
VER	legier	legier
ADV	legierement	légèrement
NOMcom	legïon	légion
NOMcom	legislateur	législateur
NOMcom	legistre	légiste
APD	legitime	légitime
NOMcom	leigne	laigne
NOMcom	leignier	laignier
NOMcom	leitüaire	électuaire
NOMcom	leitüaire (lectoire)	lectoire
NOMcom	lejance	légeance
NOMcom	lemoissel	lemoissel
NOMcom	lendi	lendit
APD	lenitif	lénitif
APD	lent	lent
ADV	lent (lentement)	lentement
NOMcom	lente	lente
NOMcom	lentece	lentesse
NOMcom	lenteté	lenteté
APD	lenticulaire	lenticulaire
APD	lentif	lentif
NOMcom	lentille	lentille
NOMcom	lentilliee	lentillee
APD	lentillos	lentilleux
NOMcom	lentisc	lentisque
NOMcom	lentor	lenteur
VER	lëonimer	léoniner
NOMcom	lepros	lépreux
NOMcom	lesche	laiche
NOMcom	lese	lèse-majesté
NOMcom	lesïon	lésion
NOMcom	leson	leson
NOMcom	lessif	lessif
NOMcom	lessive	lessive
NOMcom	lest	lest
NOMcom	lestage	lestage
NOMcom	lesure	lesure
NOMcom	letanie	litanie
NOMcom	letargie	léthargie
APD	letargique	léthargique
NOMcom	letargique	léthargique
NOMcom	letral	lettral
NOMcom	letre	lettre
APD	letré	lettré
NOMcom	letrele	lettrelle
VER	letrer	lettrer
NOMcom	letrëure	lettrure
NOMcom	letril	lettril
NOMcom	letrin	lutrin
NOMcom	letron	lettron
NOMcom	lëumage	lëunage
NOMcom	lëun	lëun
NOMcom	lëut	luth
APD	levable	levable
NOMcom	levacïon	levation
NOMcom	levailles	levailles
NOMcom	levain	levain
NOMcom	levant	levant
APD	levatif	levatif
NOMcom	levatoire	levatoire
NOMcom	leve	lève
NOMcom	levee	levée
APD	levëiz	levis
NOMcom	levëor	leveur
VER	lever	lever
NOMcom	leveton	lèveton
NOMcom	levëure	levure
NOMcom	levier	levier
NOMcom	leviere	levière
NOMcom	levite	lévite
NOMcom	levité	lévité
NOMcom	levrat	levrat
NOMcom	levre	lèvre
NOMcom	levrerete	levrerette
NOMcom	levrerie	levrerie
NOMcom	levrete	levrette
NOMcom	levrier	lévrier
NOMcom	levriere	lévrière
APD	lez	lez
NOMcom	lez	lez
PRE	lez	lez
NOMcom	lïace	liasse
NOMcom	lïage	liage
NOMcom	lïance	liance
APD	lïart	liart
NOMcom	lïaz	liat
NOMcom	libelle	libelle
APD	liberal	libéral
ADV	liberal (liberaument)	libéralement
NOMcom	liberalité	libéralité
NOMcom	liberté	liberté
NOMcom	libraire	libraire
NOMcom	librairie	librairie
NOMcom	lice	lisse
NOMcom	licëiz	liceis
NOMcom	licence	licence
APD	licenciié	licencié
NOMcom	licerie	licerie
VER	licier	licier
NOMcom	licol	licol
NOMcom	licor	liqueur
NOMcom	licorne	licorne
NOMcom	lictor	licteur
NOMcom	lidor	laideur
NOMcom	lie	lie
APD	lié	lié
ADV	lieement	liément
APD	liejois	liégeois
NOMcom	liejois	liégeois
NOMcom	lïement	liement
NOMcom	lïemier	limier
NOMcom	lïemier (lïemiere)	limière
NOMcom	liëor	lieur
NOMcom	liepardel	léopardel
APD	liepardin	léopardin
NOMcom	liepart	léopard
NOMcom	liepre	lèpre
NOMcom	lieu	luef
NOMcom	lieue	lieue
NOMcom	lieuee	lieuée
NOMcom	lieuete	lieuette
NOMcom	liëure	liure
NOMcom	lieutenanderie	lieutenanderie
NOMcom	lieutenant	lieutenant
NOMcom	lievre	lièvre
APD	lige	lige
ADV	lige (ligement)	ligement
NOMcom	ligeauté	ligeauté
NOMcom	ligece	ligesse
NOMcom	ligëé	ligeé
NOMcom	ligeté	ligeté
NOMcom	lignage	lignage
APD	lignagié	lignagié
NOMcom	lignalöé	lignaloel
NOMcom	ligne	ligne
NOMcom	lignement	lignement
NOMcom	lignëor	ligneur
NOMcom	lignet	lignet
NOMcom	lignete	lignette
NOMcom	ligniee	lignée
VER	lignier	ligner
NOMcom	lignolet	lignolet
NOMcom	lignuel	ligneul
NOMcom	ligote	ligotte
NOMcom	ligure	ligure
NOMcom	liien	lien
VER	liier	lier
NOMcom	liierne	lierne
NOMcom	lijance	ligence
NOMcom	limace	limace
NOMcom	limaçon	limaçon
NOMcom	limaille	limaille
NOMcom	limande	limande
VER	limander	limander
NOMcom	limaz	limaz
NOMcom	limbe	limbe
NOMcom	lime	lime
NOMcom	limegnon	lumignon
NOMcom	limëor	limeur
VER	limer	limer
NOMcom	limëure	limure
NOMcom	limite	limite
VER	limiter	limiter
APD	limoge	limoge
NOMcom	limoge	limoge
NOMcom	limon	limon
APD	limonel	limonel
NOMcom	limonement	limonement
APD	limonier	limonier
NOMcom	limonier	limonier
APD	limonos	limoneux
NOMcom	lin	lin
NOMcom	lincel	lincel
NOMcom	linçuel	linceul
VER	liner	ligner
NOMcom	lineruel	lineruel
NOMcom	linete	linette
NOMcom	linfart	linfar
NOMcom	ling	lin
APD	linge	linge
NOMcom	linge	linge
NOMcom	lingerie	lingerie
NOMcom	lingier	linger
NOMcom	lingiere	lingère
NOMcom	lingot	lingot
NOMcom	lingue	lingue
NOMcom	linier	linier
NOMcom	liniere	linière
NOMcom	linote	linotte
NOMcom	lintel	linteau
NOMcom	lintier	lintier
NOMcom	linuise	linuise
NOMcom	linz	lynx
APD	lïois	liais
NOMcom	lïois	liais
NOMcom	lïoison	liaison
NOMcom	lïon	lion
NOMcom	lïoncel	lionceau
NOMcom	lïonel	lionneau
NOMcom	lïonesse	lionnesse
NOMcom	lïonet	lionet
APD	lïonin	léonin
NOMcom	lipe	lippe
NOMcom	lipee	lippée
NOMcom	lique	lique
NOMcom	liquefacïon	liquéfaction
VER	liquefïer	liquéfier
APD	liquide	liquide
NOMcom	liquide	liquide
NOMcom	lire	lire
VER	lire	lire
NOMcom	lis	lis
NOMcom	lisel	lisel
NOMcom	lisëor	liseur
NOMcom	liseresse	liseresse
NOMcom	lisier	lisier
VER	lisier	lisser
NOMcom	lisiere	lisière
NOMcom	liste	liste
APD	listé	listé
NOMcom	listel	listel
VER	lister	lister
NOMcom	lit	lit
NOMcom	litarge	litharge
NOMcom	litee	litée
NOMcom	litelet	litelet
APD	literal	littéral
NOMcom	literature	littérature
NOMcom	literon	literon
NOMcom	litiere	litière
APD	litigant	litigant
NOMcom	litigant	litigant
NOMcom	litiscontestacïon	litiscontestation
VER	litiscontester	litiscontester
NOMcom	livel	livel
APD	livide	livide
NOMcom	lividité	lividité
NOMcom	livor	liveur
NOMcom	livrance	livrance
APD	livre	livre
NOMcom	livre	livre
ADV	livre (lib(e)rement)	librement
NOMcom	livree	livrée
NOMcom	livrement	livrement
NOMcom	livrëor	livreur
VER	livrer	livrer
NOMcom	livret	livret
NOMcom	livrëure	livrure
NOMcom	livroison	livraison
APD	löable	louable
NOMcom	löage	louage
NOMcom	löance	louance
NOMcom	lobance	lobance
NOMcom	lobe	lobe
NOMcom	lobelet	lobelet
NOMcom	lobëor	lobeur
VER	lober	lober
NOMcom	loberie	loberie
NOMcom	loc	loc
NOMcom	locacïon	location
APD	local	local
ADV	local (locaument)	localement
NOMcom	loche	loche
NOMcom	locheron	loucheron
NOMcom	lochet	louchet
NOMcom	lochete	louchette
NOMcom	lochiee	louchée
NOMcom	lochier	louchier
VER	lochier	locher
APD	locu	locu
NOMcom	locucïon	locution
NOMcom	locupletacïon	locupletation
NOMcom	lodier	loudière
NOMcom	lodiere	loudière
APD	loëier	louier
APD	loëiz	louis
NOMcom	löement	louement
NOMcom	löenge	louange
VER	löengier	louanger
NOMcom	loëor	loueur
VER	löer	louer
NOMcom	löerresse	loueresse
NOMcom	lof	lof
VER	lofer	louffer
NOMcom	loge	loge
NOMcom	logëiz	logis
NOMcom	logement	logement
NOMcom	logete	logette
NOMcom	logiciien	logicien
VER	logier	loger
NOMcom	logique	logique
NOMcom	loherenc	lorrain
NOMcom	loi	loi
NOMcom	loie	loie
NOMcom	loiere	loière
NOMcom	loigne	longe
ADV	loignet	loignet
VER	loignier	loigner
NOMcom	loiier	loyer
ADV	loing	loin
APD	loing	loin
APD	lointain	lointain
NOMcom	loir	loir
NOMpro	Loire	Loire
NOMcom	loire (lotre)	loire
NOMcom	loirre	leurre
APD	loirrier	leurré
VER	loirrier	loirier
APD	lois	louche
APD	loisable	loisable
NOMcom	loisir	loisir
VER	loisir	loisir
NOMcom	loisor	loiseur
NOMcom	loissel	loissel
NOMcom	lomant	lodesman
NOMpro	Lombardie	Lombardie
APD	lombart	lombard
NOMcom	lombart	lombard
NOMcom	lombe	lombes
NOMcom	lombicon	lombicon
NOMcom	lomble	lomble
NOMcom	lombric	lombric
ADV	lonc	long
APD	lonc	long
NOMcom	lonc	long
ADV	lonc (lonctens)	longtemps
ADV	lonc (longes)	longues
NOMcom	londe	londe
NOMcom	longaigne	longaigne
APD	longain	longain
NOMcom	longanimité	longanimité
NOMcom	longäon	longaon
ADV	longement	longuement
APD	longement	longuement
NOMcom	longement	longuement
VER	longier	longer
NOMcom	longiere	longre
NOMcom	longitude	longitude
APD	longitudinal	longitudinal
NOMcom	longor	longueur
NOMcom	longuece	longuesse
APD	longuet	longuet
NOMcom	longueté	longueté
NOMcom	lope	loupe
VER	loper	loper
NOMcom	lopin	lopin
VER	lopiner	lopiner
NOMcom	lopinerie	lopinerie
NOMcom	loque	louche
NOMcom	loquele	loquele
NOMcom	loquence	loquence
VER	loquencier	loquencer
NOMcom	loquet	loquet
NOMcom	loquete	loquette
APD	loqueté	loqueté
VER	loqueter	loqueter
APD	lor	leur
PRO	lor	leur
NOMcom	lorain	lorain
NOMcom	lordece	lourdesse
NOMcom	lordet	lourdet
NOMcom	lordie	lourdie
NOMcom	lordin	lourdin
NOMcom	lordois	lourdois
NOMcom	lordure	lourdure
NOMcom	lorel	lorel
NOMcom	lorete	lourette
APD	lorgne	lorgne
NOMcom	loridaine	loridenne
NOMcom	lorier	laurier
NOMcom	lormerie	lormerie
NOMcom	lormier	lormier
NOMcom	lorpidon	lorpidon
ADV	lors	lors
APD	lors	lors
APD	lort	lourd
ADV	lort (lordement)	lourdement
NOMcom	los	los
NOMpro	los	los
NOMcom	lose	lose
NOMcom	losenge	losenge
NOMcom	losengement	losengement
NOMcom	losengëor	losengeur
NOMcom	losengerie	losengerie
APD	losengier	losengier
NOMcom	losengier	losengier
VER	losengier	losenger
NOMcom	losengier (losengiere)	losengière
VER	loser	loser
NOMcom	lot	lot
NOMcom	lotee	lotée
NOMcom	lotie	lotie
VER	lotir	lotir
NOMcom	lotre	loutre
NOMcom	lotrëor	loutreur
NOMcom	lotresse	loutresse
NOMcom	lotrier	loutrier
NOMcom	lotriere	loutrière
NOMcom	lou	loup
NOMcom	lou-cervier	loup-cervier
NOMcom	lovat	louvat
NOMcom	love	louve
NOMcom	love-cerviere	louve-cervière
NOMcom	lovegnois	louvenois
NOMcom	lovel	louveau
NOMcom	loverie	louverie
NOMcom	lovesse	louvesse
NOMcom	lovet	louvet
NOMcom	lovetëor	louveteur
NOMcom	lovier	louvier
NOMcom	loviere	louvière
APD	lovin	louvin
NOMcom	lovin	lupin
APD	loviz	louvis
NOMcom	luberne	luberne
APD	lubre	lubre
NOMcom	lubrïeté	lubriété
APD	lubrique	lubrique
NOMcom	lucanne	lucarne
NOMcom	lucel	luceau
NOMcom	lucet	lucet
NOMpro	lucifer	lucifer
APD	lucratif	lucratif
APD	luctatif	luctatif
ADV	luès	luès
NOMcom	lüete	luette
APD	lufre	luffre
APD	lugubre	lugubre
APD	luisable	luisable
NOMcom	luisel	luisel
NOMcom	luiselet	luiselet
NOMcom	luiserne	luiserne
VER	luisir	luire
APD	luisir (luisant)	luisant
NOMcom	luisor	luiseur
NOMcom	luite	lutte
NOMcom	luitement	luttement
NOMcom	luitëor	lutteur
NOMcom	luiterie	lutterie
NOMcom	luiterresse	lutteresse
VER	luitier	lutter
NOMcom	luiton	lutin
VER	lumer	lumer
NOMcom	lumiere	lumière
NOMcom	luminacïon	lumination
NOMcom	luminaire	luminaire
VER	luminer	luminer
APD	luminos	lumineux
APD	lunage	lunage
NOMcom	lunage	lunage
APD	lunaire	lunaire
NOMcom	lunaire	lunaire
NOMcom	lunaison	lunaison
NOMcom	lunal	lunal
NOMcom	lundi	lundi
NOMcom	lune	lune
NOMcom	lunete	lunette
NOMcom	lüor	lueur
NOMcom	lupinele	lopinelle
VER	luquier	luquier
NOMcom	lurele	lurelle
NOMcom	lustracïon	lustration
APD	lustral	lustral
NOMcom	lustral	lustral
NOMcom	lustre	lustre
VER	lustrer	lustrer
NOMcom	lut	lut
NOMcom	luvesche	livèche
NOMcom	luxure	luxure
APD	luxurïable	luxuriable
APD	luxurïal	luxurial
VER	luxuriier	luxurier
APD	luxurïos	luxurieux
ADV	luxurïos (luxurïosement)	luxurieusement
NOMcom	luz	lus
NOMcom	m	m
NOMcom	mäaillete	maillette
NOMcom	mäailliee	maillée
NOMcom	maçacre	massacre
VER	maçacrer	massacrer
NOMcom	maçacrerie	maiselerie
NOMcom	maçacrier	maiselier
NOMcom	maçacriere	massacrière
NOMcom	mace	masse
NOMcom	macelote	masselote
NOMcom	machet	machet
VER	machier	mâcher
NOMcom	machinacïon	machination
NOMcom	machine	machine
NOMcom	machinëor	machineur
VER	machiner	machiner
NOMcom	macier	massier
NOMcom	maciere	massière
NOMcom	macis	macis
NOMcom	macle	macle
NOMcom	maçon	maçon
NOMcom	maçonage	maçonnage
NOMcom	maçone	maçonne
NOMcom	maçonëiz	maçonnis
NOMcom	maçonement	maçonnement
NOMcom	maçonëor	maçonneur
VER	maçoner	maçonner
NOMcom	maçonerie	maçonnerie
NOMcom	maçüe	massue
NOMcom	macule	macule
VER	maculer	maculer
APD	maculer (macul‚)	maculé
NOMpro	Madelaine	madeleine
APD	maderin	maderin
NOMcom	maderin	maderin
NOMcom	madre	madre
NOMcom	madrïan	madrian
NOMcom	mage	mage
APD	magiciien	magicien
NOMcom	magiciien	magicien
APD	maginois	maginois
APD	magique	magique
NOMcom	magique	magique
NOMcom	magistre	magistre
VER	magistrer	magistrer
APD	magnanime	magnanime
NOMcom	magnanimité	magnanimité
NOMcom	magnefïement	magnifiement
VER	magnefiier	magnifier
NOMcom	magnes	magnet
NOMcom	magnete	magnette
NOMcom	magnifice	magnifice
NOMcom	magnificence	magnificence
APD	magnificent	magnificent
APD	magnifique	magnifique
NOMcom	magnitude	magnitude
NOMcom	mahaigne	mahaigne
VER	mahaignier	mahaigner
NOMcom	mahaing	mahaing
NOMcom	mahomerie	mahomerie
NOMcom	mahomet	mahomet
NOMcom	mahomie	mahomie
NOMcom	mahon	mahon
NOMcom	mahustre	maheutre
NOMcom	mai	mai
NOMcom	maiere	maière
NOMcom	maigle	maigle
APD	maigne	maigne
NOMcom	maignenerie	maignènerie
NOMcom	maignien	maignien
APD	maigre	maigre
ADV	maigre (maigrement)	maigrement
NOMcom	maigrece	maigresse
APD	maigret	maigret
NOMcom	maigreté	maigreté
VER	maigrir	maigrir
VER	maigroiier	maigroyer
NOMcom	mail	mail
NOMcom	maille	maille
NOMcom	maillëiz	maillis
NOMcom	maillel	maillel
VER	maillenter	maillenter
NOMcom	maillëor	mailleur
NOMcom	maillerresse	mailleresse
NOMcom	maillet	maillet
APD	mailleté	mailleté
VER	maillier	mailler
VER	mailloler	mailloler
NOMcom	maillolet	maillolet
NOMcom	mailluel	maillot
NOMcom	maimon (maimonet)	memonnet
ADV	main	main
NOMcom	main	main-ferme
ADV	main (arieremain)	arrière-main
NOMcom	main (mortemain)	mortemain
NOMcom	mainbornie	mainbournie
VER	mainbornir	mainbournir
NOMcom	mainbornissement	mainbournissement
NOMcom	mainbornissëor	mainbournisseur
NOMcom	mainmole	mainmolle
NOMcom	mainpast	mainpast
NOMcom	mainplant	mainplant
NOMcom	mainprenor	mainpreneur
APD	maint	maint
NOMcom	maintenance	maintenance
ADV	maintenant	maintenant
APD	maintenant	maintenant
NOMcom	maintenement	maintènement
NOMcom	maintenëor	mainteneur
VER	maintenir	maintenir
ADV	maintien	maintesfois
NOMcom	maintien	maintien
NOMcom	maiole	maiole
NOMcom	mairan	mairan
NOMcom	mairauté	mairauté
NOMcom	mairesse	mairesse
NOMcom	mairie	mairie
VER	mairier	mairer
NOMcom	mairrenage	merrainage
NOMcom	mairrenerie	merrainerie
NOMcom	mairrenier	merrainier
NOMcom	mairrien	merrain
ADV	mais	mais
APD	mais	mais
CON	mais	mais
ADV	mais (d'ormais)	doremais
ADV	mais (maisement)	maisement
ADV	mais (maisouan)	maisouan
ADV	mais (maisui/maishui)	maishui
NOMcom	maise	maise
NOMcom	maisel/maisel	maisel
VER	maiseler	maiseler
NOMcom	maiselier	maiselier
NOMcom	maiseté	maiseté
NOMcom	maisiere	maisière
NOMcom	maisnage	ménage
NOMcom	maisnagier	ménager
VER	maisnagier	ménager
NOMcom	maisniee	maisnie
NOMcom	maisnier	maisnier
NOMcom	maisnil	maisnil
NOMcom	maison	maison
NOMcom	maisoncele	maisoncelle
NOMcom	maisonele	maisonnelle
NOMcom	maisonement	maisonnement
VER	maisoner	maisonner
NOMcom	maisonete	maisonnette
NOMcom	maissele	maisselle
APD	maisseler	maisselier
NOMcom	mäistire	maistire
NOMcom	maistralie	maistralie
NOMcom	maistre	maître
NOMcom	maistresse	maîtresse
NOMcom	maistrie	maîtrie
VER	maistrier	mestrer
APD	maistrïos	maîtrieux
ADV	maistrïos (maistrïosement)	maîtrieusement
NOMcom	maistrise	maîtrise
NOMcom	mait	maie
APD	majestal	majestal
NOMcom	majesté	majesté
APD	major	majeur
NOMcom	major	majeure
NOMcom	majorane	majoraine
ADV	mal	mal
APD	mal	mal
NOMcom	mal	malefaction
APD	mal (malsain)	malsain
APD	mal (malsené)	malsené
APD	mal (mausage)	mausage
APD	malade	malade
NOMcom	malade	malade
NOMcom	maladerie	maladerie
NOMcom	maladie	maladie
APD	maladif	maladif
APD	maladïos	maladieux
NOMcom	malage	malage
NOMcom	malaise	malaise
APD	malaisible	malaisible
VER	malaisier	malaiser
APD	malaisif	malaisif
NOMcom	malan	malan
NOMcom	malandre	malandre
NOMcom	malarde	malarde
NOMcom	malart	malart
NOMcom	malaventure	malaventure
APD	malaventuré	malaventuré
APD	malaventuros	malaventureux
APD	malcuidant/maucuidant	malcuidant
NOMcom	male	malle
NOMcom	malecote	malecote
NOMcom	maledicïon	malédiction
NOMcom	malefaçon	malfaction
NOMcom	malefice	maléfice
NOMcom	maleficïon	maléficion
NOMcom	malëiçon	maléisson
VER	malëir	maléir
ADV	malement	malement
APD	malement	malement
NOMcom	malengin	malengin
VER	maler	maller
APD	malerez	mallereç
NOMcom	malete	mallette
NOMcom	maletier	malletier
NOMcom	malëure	malheure
APD	malëuré	malheuré
APD	malëuros	malheureux
NOMcom	malëurté	malheurté
