desdeing	dédain
desdire	dédire
desenseignier	desenseigner
desert2	désert1
deserte1	desserte1	
deserte2	desserte2
deservir	desservir1
desesperer	désespérer
desfaire	défaire
desfermer	desfermer
desferrer	déferrer
desfïance	défiance
desfïer	défier
desfigurer	défigurer
desföir	desfouir
desfubler	desfubler
desgarnir	dégarnir
deshait	deshait
deshaitier	deshaitier
desiretement	déshéritement
desireter	déshériter
desirrer	désirer
desirrier2	désirier
desjëuner	déjeuner
desjoindre	desjoindre
desjugler	desjugler
deslacier	délacer
deslëal	déloyal
deslëaument	déloyalement
deslëauté	déloyauté
deslicier	
desliier	délier
deslöer1	deslouer1
deslöer2	deslouer2
desmaillier	démailler
desmembrer	démembrer
desmentir	démentir
desmesure	démesure
desmesurer	démesurer
desnöer	dénouer
desnüer	dénuer
desonor	déshonneur
despaner	despaner
despareil	dépareil
despendre2	dépendre3
despens	dépens
despense	dépense
despensier	dépensier
desperance	despérance
desperer	despérer
despire	despire
despisier	despiser
despit	dépit
desplaire	déplaire
desploiier	déployer
despoillier	dépouiller
desprendre	déprendre
desprisoner	déprisonner
desraison	déraison
desrëer	desroyer
desrober	dérober
desroi	desroi
desroter	dérouter
dessembler2	dessembler2
dessëoir	desseoir
desserrer	desserrer1
dessevelir	
dessevraille	
dessevrer	dessevrer
desteler1	dételer
destendre2	détendre
destinee	destinée
destiner	destiner
destor	détour
destorber	détourber
destorner	détourner
destre	dextre
destrece	détresse
destreindre	destreindre
destremper	détremper
destrier1	destrier1
destroit	détroit1
destrosser	détrousser
destructïon	destruction
destruire	détruire
desver	desver
desverie	desverie
desvestir	dévêtir
desvoiier	dévoyer
detaillier	détailler
dete	dette
detenir	détenir
detirer	détirer
detor	detteur
detordre	détordre
detraire	détraire
detrenchier	détrancher
deugié	douge
devenir	devenir
devïer	dévier2
devin2	devin
devinail	devinail
devinaille	devinaille
deviner	deviner
devise	devise
devisëor	deviseur
deviser	deviser
devocïon	dévotion
devoir	devoir2
devorer1	dévorer
devoutrer	
di	toudis
dïable	diable
dïablie	diablie
dïamargariton	diamargariton
dïaspre	
dïemaine	
dieu	dieu
dire	dire1
dit	dit
divers	divers
döaire	douaire
doble	double
dobler	doubler
doblier	doublier
doi	doigt
dois	dais
doiz	duit1
dolent	dolent
doler1	doler
doloir	douloir
dolor	douleur
doloros	douloureux
dolorosement	douloureusement
don	don
doner	donner
donoiier	donoyer
donter	dompter
dorer	dorer
dorëure	dorure
